2019-05-07 13:09:50,945 - INFO - market_maker - run_loop - MarketReport -{'last': 5902.5, 'buy': 5902.0, 'sell': 5902.5, 'mid': 5902.0, 'tickLog': 1, 'pos': -1360, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5902.0, 'last_aft': 5902.0, 'atr': 5.45, 'sma': 5894.65}
2019-05-07 13:10:00,843 - INFO - market_maker - run_loop - MarketReport -{'last': 5902.0, 'buy': 5902.0, 'sell': 5902.5, 'mid': 5902.0, 'tickLog': 1, 'pos': -1240, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5902.0, 'last_aft': 5902.0, 'atr': 5.175, 'sma': 5894.775}
2019-05-07 13:10:10,861 - INFO - market_maker - run_loop - MarketReport -{'last': 5901.5, 'buy': 5901.5, 'sell': 5902.0, 'mid': 5902.0, 'tickLog': 1, 'pos': -1240, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5901.5, 'last_aft': 5901.5, 'atr': 5.175, 'sma': 5894.775}
2019-05-07 13:10:21,030 - INFO - market_maker - run_loop - MarketReport -{'last': 5901.5, 'buy': 5901.5, 'sell': 5902.0, 'mid': 5902.0, 'tickLog': 1, 'pos': -1240, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5901.5, 'last_aft': 5901.5, 'atr': 5.175, 'sma': 5894.775}
2019-05-07 13:10:40,634 - INFO - market_maker - run_loop - MarketReport -{'last': 5901.5, 'buy': 5901.5, 'sell': 5902.0, 'mid': 5902.0, 'tickLog': 1, 'pos': -1180, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5901.5, 'last_aft': 5901.5, 'atr': 5.175, 'sma': 5894.775}
2019-05-07 13:10:50,735 - INFO - market_maker - run_loop - MarketReport -{'last': 5901.5, 'buy': 5901.5, 'sell': 5902.0, 'mid': 5902.0, 'tickLog': 1, 'pos': -1180, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5901.5, 'last_aft': 5901.5, 'atr': 5.175, 'sma': 5894.775}
2019-05-07 13:11:14,513 - INFO - market_maker - run_loop - MarketReport -{'last': 5900.0, 'buy': 5900.5, 'sell': 5901.0, 'mid': 5901.0, 'tickLog': 1, 'pos': -740, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5901.0, 'last_aft': 5901.0, 'atr': 4.95, 'sma': 5894.8}
2019-05-07 13:11:22,084 - INFO - market_maker - run_loop - MarketReport -{'last': 5900.0, 'buy': 5900.0, 'sell': 5900.5, 'mid': 5900.0, 'tickLog': 1, 'pos': -740, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5900.5, 'last_aft': 5900.5, 'atr': 4.95, 'sma': 5894.8}
2019-05-07 13:11:31,151 - INFO - market_maker - run_loop - MarketReport -{'last': 5900.0, 'buy': 5900.0, 'sell': 5900.5, 'mid': 5900.0, 'tickLog': 1, 'pos': -740, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5900.0, 'last_aft': 5900.0, 'atr': 4.95, 'sma': 5894.8}
2019-05-07 13:11:41,276 - INFO - market_maker - run_loop - MarketReport -{'last': 5900.0, 'buy': 5900.0, 'sell': 5900.5, 'mid': 5900.0, 'tickLog': 1, 'pos': -740, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5900.0, 'last_aft': 5900.0, 'atr': 4.95, 'sma': 5894.8}
2019-05-07 13:11:51,155 - INFO - market_maker - run_loop - MarketReport -{'last': 5900.0, 'buy': 5900.0, 'sell': 5900.5, 'mid': 5900.0, 'tickLog': 1, 'pos': -740, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5900.0, 'last_aft': 5900.0, 'atr': 4.95, 'sma': 5894.8}
2019-05-07 13:12:03,355 - INFO - market_maker - run_loop - MarketReport -{'last': 5899.5, 'buy': 5899.5, 'sell': 5900.0, 'mid': 5900.0, 'tickLog': 1, 'pos': -400, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5899.5, 'last_aft': 5899.5, 'atr': 5.0, 'sma': 5894.775}
2019-05-07 13:12:17,806 - INFO - market_maker - run_loop - MarketReport -{'last': 5899.0, 'buy': 5899.0, 'sell': 5899.5, 'mid': 5899.0, 'tickLog': 1, 'pos': -360, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5899.5, 'last_aft': 5899.5, 'atr': 5.0, 'sma': 5894.775}
2019-05-07 13:12:25,403 - INFO - market_maker - run_loop - MarketReport -{'last': 5898.0, 'buy': 5898.5, 'sell': 5899.0, 'mid': 5899.0, 'tickLog': 1, 'pos': -300, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5898.0, 'last_aft': 5898.0, 'atr': 5.0, 'sma': 5894.775}
